year,breakdown,school,question,question_text,response,count,denominator,value,lowercl,uppercl,lowereb,uppereb
2022,All Responses,All Schools,District_school,NA,North Hertfordshire,785,11125,7.1%,6.3%,7.8%,0.7%,0.8%
2022,All Responses,All Schools,District_school,NA,Outside of Hertfordshire,15,11125,0.1%,0.1%,0.3%,0.1%,0.2%
2022,All Responses,All Schools,District_school,NA,St Albans,3090,11125,27.8%,26.5%,29.1%,1.3%,1.3%
2022,All Responses,All Schools,District_school,NA,Stevenage,210,11125,1.9%,1.5%,2.3%,0.4%,0.4%
2022,All Responses,All Schools,District_school,NA,Three Rivers,2950,11125,26.5%,25.2%,27.8%,1.3%,1.3%
2022,All Responses,All Schools,District_school,NA,Watford,220,11125,2.0%,1.6%,2.4%,0.4%,0.5%
2022,All Responses,All Schools,District_school,NA,Welwyn Hatfield,1045,11125,9.4%,8.6%,10.3%,0.8%,0.9%
2022,All Responses,All Schools,Q8978241.18,NA,No,11150,11150,100.0%,99.9%,100.0%,0.1%,0.0%
2022,All Responses,All Schools,age,Age,10,5,11155,0.0%,0.0%,0.2%,0.0%,0.1%
2022,All Responses,All Schools,age,Age,11,1515,11155,13.6%,12.6%,14.6%,1.0%,1.0%
2022,All Responses,All Schools,age,Age,12,2350,11155,21.1%,19.9%,22.3%,1.2%,1.2%
2022,All Responses,All Schools,age,Age,13,2010,11155,18.0%,16.9%,19.2%,1.1%,1.2%
2022,All Responses,All Schools,age,Age,14,1875,11155,16.8%,15.7%,17.9%,1.1%,1.1%
2022,All Responses,All Schools,age,Age,15,1285,11155,11.5%,10.6%,12.5%,0.9%,1.0%
2022,All Responses,All Schools,age,Age,16,995,11155,8.9%,8.1%,9.8%,0.8%,0.9%
2022,All Responses,All Schools,age,Age,17,895,11155,8.0%,7.3%,8.9%,0.8%,0.8%
2022,All Responses,All Schools,age,Age,18,220,11155,2.0%,1.6%,2.4%,0.4%,0.4%
2022,All Responses,All Schools,age,Age,19,5,11155,0.0%,0.0%,0.2%,0.0%,0.1%
2022,All Responses,All Schools,alcohol_6more,how often they have six or more drinks on one occasion,Daily or almost daily,60,2995,2.0%,1.4%,3.0%,0.7%,1.0%
2022,All Responses,All Schools,alcohol_6more,how often they have six or more drinks on one occasion,Less than monthly,850,2995,28.4%,25.9%,31.0%,2.5%,2.6%
2022,All Responses,All Schools,alcohol_6more,how often they have six or more drinks on one occasion,Monthly,405,2995,13.5%,11.7%,15.6%,1.8%,2.0%
2022,All Responses,All Schools,alcohol_6more,how often they have six or more drinks on one occasion,Never,1565,2995,52.3%,49.4%,55.1%,2.8%,2.8%
2022,All Responses,All Schools,alcohol_6more,how often they have six or more drinks on one occasion,Weekly,115,2995,3.8%,2.9%,5.1%,0.9%,1.2%
2022,All Responses,All Schools,alcohol_ever,how often they had an alcohol-containing drink in the past three months,2-3 times a week,235,11060,2.1%,1.7%,2.6%,0.4%,0.5%
2022,All Responses,All Schools,alcohol_ever,how often they had an alcohol-containing drink in the past three months,2-4 times a month,1115,11060,10.1%,9.2%,11.0%,0.9%,0.9%
2022,All Responses,All Schools,alcohol_ever,how often they had an alcohol-containing drink in the past three months,4 or more times a week,110,11060,1.0%,0.7%,1.3%,0.3%,0.3%
2022,All Responses,All Schools,alcohol_ever,how often they had an alcohol-containing drink in the past three months,Monthly or less,1565,11060,14.2%,13.2%,15.2%,1.0%,1.1%
2022,All Responses,All Schools,alcohol_ever,how often they had an alcohol-containing drink in the past three months,Never,8035,11060,72.6%,71.3%,73.9%,1.3%,1.3%
2022,All Responses,All Schools,alcohol_reduce,want to reduce or stop drinking,I'd like to reduce the amount I drink but not stop,615,2780,22.1%,19.8%,24.6%,2.3%,2.5%
2022,All Responses,All Schools,alcohol_reduce,want to reduce or stop drinking,"No, I want to keep drinking alcohol",1800,2780,64.7%,61.9%,67.5%,2.8%,2.7%
2022,All Responses,All Schools,alcohol_reduce,want to reduce or stop drinking,"Yes, I'd like to stop drinking alcohol",365,2780,13.1%,11.3%,15.2%,1.9%,2.1%
2022,All Responses,All Schools,amphetamine_offered,amphetamines,No,11150,11150,100.0%,99.9%,100.0%,0.1%,0.0%
2022,All Responses,All Schools,amphetamines_exp,amphetamines,No,810,870,93.1%,90.0%,95.3%,3.1%,2.2%
2022,All Responses,All Schools,amphetamines_exp,amphetamines,Yes,60,870,6.9%,4.7%,10.0%,2.2%,3.1%
2022,All Responses,All Schools,approached_anonymous_report,reported the crime anonymously,No,11150,11150,100.0%,99.9%,100.0%,0.1%,0.0%
2022,All Responses,All Schools,approached_argue,argued or fought back,No,11150,11150,100.0%,99.9%,100.0%,0.1%,0.0%
2022,All Responses,All Schools,approached_other,other,No,11150,11150,100.0%,99.9%,100.0%,0.1%,0.0%
2022,All Responses,All Schools,approached_toldadult,told an adult,No,11150,11150,100.0%,99.9%,100.0%,0.1%,0.0%
2022,All Responses,All Schools,approached_toldfriend,told a friend,No,11150,11150,100.0%,99.9%,100.0%,0.1%,0.0%
2022,All Responses,All Schools,approached_toldpolice,told the police,No,11150,11150,100.0%,99.9%,100.0%,0.1%,0.0%
2022,All Responses,All Schools,approached_toldself,kept it to themselves,No,11150,11150,100.0%,99.9%,100.0%,0.1%,0.0%
2022,All Responses,All Schools,approached_walkaway,walked away,No,11150,11150,100.0%,99.9%,100.0%,0.1%,0.0%
2022,All Responses,All Schools,brushteeth,how many times they brushed their teeth yesterday,0,240,11080,2.2%,1.8%,2.6%,0.4%,0.5%
2022,All Responses,All Schools,brushteeth,how many times they brushed their teeth yesterday,1,1940,11080,17.5%,16.4%,18.7%,1.1%,1.1%
2022,All Responses,All Schools,brushteeth,how many times they brushed their teeth yesterday,2 or more,8900,11080,80.3%,79.1%,81.5%,1.2%,1.1%
2022,All Responses,All Schools,bullied,have ever been bullied or picked on,No,6585,11150,59.1%,57.6%,60.5%,1.4%,1.4%
2022,All Responses,All Schools,bullied,have ever been bullied or picked on,Yes,4565,11150,40.9%,39.5%,42.4%,1.4%,1.4%
2022,All Responses,All Schools,bullied_currently,are currently being bullied or picked on,No,3395,4545,74.7%,72.7%,76.6%,2.0%,1.9%
2022,All Responses,All Schools,bullied_currently,are currently being bullied or picked on,Prefer not to say,555,4545,12.2%,10.8%,13.8%,1.4%,1.6%
2022,All Responses,All Schools,bullied_currently,are currently being bullied or picked on,Yes,595,4545,13.1%,11.6%,14.7%,1.5%,1.6%
2022,All Responses,All Schools,bullied_internet,they have been bullied online,No,3790,4565,83.0%,81.2%,84.7%,1.8%,1.6%
2022,All Responses,All Schools,bullied_internet,they have been bullied online,Yes,775,4565,17.0%,15.3%,18.8%,1.6%,1.8%
2022,All Responses,All Schools,bullied_none,have no experiences with bullying,No,5960,11150,53.5%,52.0%,54.9%,1.5%,1.5%
2022,All Responses,All Schools,bullied_none,have no experiences with bullying,Yes,5190,11150,46.5%,45.1%,48.0%,1.5%,1.5%
2022,All Responses,All Schools,bullied_others,have ever bullied or picked on someone else,No,10230,11150,91.7%,90.9%,92.5%,0.8%,0.8%
2022,All Responses,All Schools,bullied_others,have ever bullied or picked on someone else,Yes,920,11150,8.3%,7.5%,9.1%,0.8%,0.8%
2022,All Responses,All Schools,bullied_outschool,they have been bullied somewhere other than school,No,3735,4565,81.8%,80.0%,83.5%,1.8%,1.7%
2022,All Responses,All Schools,bullied_outschool,they have been bullied somewhere other than school,Yes,830,4565,18.2%,16.5%,20.0%,1.7%,1.8%
2022,All Responses,All Schools,bullied_prefer_not_say,would prefer not to respond about their experiences with bullying,No,10185,11150,91.3%,90.5%,92.1%,0.9%,0.8%
2022,All Responses,All Schools,bullied_prefer_not_say,would prefer not to respond about their experiences with bullying,Yes,965,11150,8.7%,7.9%,9.5%,0.8%,0.9%
2022,All Responses,All Schools,bullied_school,they have been bullied at school,No,395,4565,8.7%,7.5%,10.0%,1.2%,1.4%
2022,All Responses,All Schools,bullied_school,they have been bullied at school,Yes,4170,4565,91.3%,90.0%,92.5%,1.4%,1.2%
2022,All Responses,All Schools,buyalc_friend,from a friend or relative,No,1715,3115,55.1%,52.3%,57.8%,2.8%,2.7%
2022,All Responses,All Schools,buyalc_friend,from a friend or relative,Yes,1400,3115,44.9%,42.2%,47.7%,2.7%,2.8%
2022,All Responses,All Schools,buyalc_home,from home,No,1635,3120,52.4%,49.6%,55.2%,2.8%,2.8%
2022,All Responses,All Schools,buyalc_home,from home,Yes,1485,3120,47.6%,44.8%,50.4%,2.8%,2.8%
2022,All Responses,All Schools,buyalc_internet,from the internet,No,3055,3115,98.1%,97.2%,98.7%,0.9%,0.6%
2022,All Responses,All Schools,buyalc_internet,from the internet,Yes,60,3115,1.9%,1.3%,2.8%,0.6%,0.9%
2022,All Responses,All Schools,buyalc_pubbar,from a pub/bar,No,2775,3115,89.1%,87.2%,90.7%,1.8%,1.6%
2022,All Responses,All Schools,buyalc_pubbar,from a pub/bar,Yes,340,3115,10.9%,9.3%,12.8%,1.6%,1.8%
2022,All Responses,All Schools,buyalc_smallshop,from a small shop/off-licence,No,2630,3115,84.4%,82.3%,86.3%,2.1%,1.9%
2022,All Responses,All Schools,buyalc_smallshop,from a small shop/off-licence,Yes,485,3115,15.6%,13.7%,17.7%,1.9%,2.1%
2022,All Responses,All Schools,buyalc_supermarket,from a supermarket,No,2775,3115,89.1%,87.2%,90.7%,1.8%,1.6%
2022,All Responses,All Schools,buyalc_supermarket,from a supermarket,Yes,340,3115,10.9%,9.3%,12.8%,1.6%,1.8%
2022,All Responses,All Schools,buycig_friend,from a friend or relative,No,350,490,71.4%,64.8%,77.3%,6.7%,5.8%
2022,All Responses,All Schools,buycig_friend,from a friend or relative,Yes,140,490,28.6%,22.7%,35.2%,5.8%,6.7%
2022,All Responses,All Schools,buycig_internet,from the internet,No,455,490,92.9%,88.4%,95.7%,4.5%,2.8%
2022,All Responses,All Schools,buycig_internet,from the internet,Yes,35,490,7.1%,4.3%,11.6%,2.8%,4.5%
2022,All Responses,All Schools,buycig_pubbar,from a pub/bar,No,450,490,91.8%,87.2%,94.9%,4.7%,3.1%
2022,All Responses,All Schools,buycig_pubbar,from a pub/bar,Yes,40,490,8.2%,5.1%,12.8%,3.1%,4.7%
2022,All Responses,All Schools,buycig_smallshop,from a small shop/off-licence,No,335,490,68.4%,61.6%,74.5%,6.8%,6.1%
2022,All Responses,All Schools,buycig_smallshop,from a small shop/off-licence,Yes,155,490,31.6%,25.5%,38.4%,6.1%,6.8%
2022,All Responses,All Schools,buycig_supermarker,from a supermarket,No,440,490,89.8%,84.8%,93.3%,5.0%,3.5%
2022,All Responses,All Schools,buycig_supermarker,from a supermarket,Yes,50,490,10.2%,6.7%,15.2%,3.5%,5.0%
2022,All Responses,All Schools,buydrug_bar,pubs/bars/clubs,No,845,875,96.6%,94.1%,98.0%,2.5%,1.5%
2022,All Responses,All Schools,buydrug_bar,pubs/bars/clubs,Yes,30,875,3.4%,2.0%,5.9%,1.5%,2.5%
2022,All Responses,All Schools,buydrug_friend,friend or relative,No,525,870,60.3%,55.1%,65.3%,5.2%,5.0%
2022,All Responses,All Schools,buydrug_friend,friend or relative,Yes,345,870,39.7%,34.7%,44.9%,5.0%,5.2%
